type,name,xHandle,imageSourceUrl,avatarUrl,downloadStatus
qualifier,Quinn,@Qu1nn_web3,https://unavatar.io/x/Qu1nn_web3?fallback=false,/avatars/traders/qu1nn-web3.jpg,downloaded
qualifier,Sarthi,@Sarthib7,https://unavatar.io/x/Sarthib7?fallback=false,/avatars/traders/sarthib7.jpg,downloaded
qualifier,Simon / simonmolitor,@simonmolitor,https://unavatar.io/x/simonmolitor?fallback=false,/avatars/traders/simonmolitor.jpg,downloaded
qualifier,Kerem Eskici,@rusruletj,https://unavatar.io/x/rusruletj?fallback=false,/avatars/traders/rusruletj.jpg,downloaded
qualifier,Inno,@Inno_ox,https://unavatar.io/x/Inno_ox?fallback=false,/avatars/traders/inno-ox.jpg,downloaded
qualifier,Bjoern,@bjoernzx,https://unavatar.io/x/bjoernzx?fallback=false,/avatars/traders/bjoernzx.jpg,downloaded
qualifier,Julian,@Ssjjuö3,https://unavatar.io/x/Ssjju%C3%B63?fallback=false,/avatars/traders/ssjjuoe3.jpg,downloaded
qualifier,Rob,@DJBobbyStarrr,https://unavatar.io/x/DJBobbyStarrr?fallback=false,/avatars/traders/djbobbystarrr.jpg,downloaded
qualifier,Vitalii Hrytsak,@whoiscapella,https://unavatar.io/x/whoiscapella?fallback=false,/avatars/traders/whoiscapella.jpg,downloaded
qualifier,Pranav Arya,@iampranavarya,https://unavatar.io/x/iampranavarya?fallback=false,/avatars/traders/iampranavarya.jpg,downloaded
qualifier,Yesil,@yesilNFT,https://unavatar.io/x/yesilNFT?fallback=false,/avatars/traders/yesilnft.jpg,downloaded
qualifier,Lorenz,@LehmannLorenz,https://unavatar.io/x/LehmannLorenz?fallback=false,/avatars/traders/lehmannlorenz.jpg,downloaded
qualifier,Nils,@nyyls369,https://unavatar.io/x/nyyls369?fallback=false,/avatars/traders/nyyls369.jpg,downloaded
qualifier,Mike,@heymike777,https://unavatar.io/x/heymike777?fallback=false,/avatars/traders/heymike777.jpg,downloaded
qualifier,Bloody,@bloodybulldoge,https://unavatar.io/x/bloodybulldoge?fallback=false,/avatars/traders/bloodybulldoge.jpg,downloaded
qualifier,Srini Jagannath,@SriniJagannath,https://unavatar.io/x/SriniJagannath?fallback=false,/avatars/traders/srinijagannath.jpg,downloaded
qualifier,Ivan / hypnogaba,@hypnogaba,https://unavatar.io/x/hypnogaba?fallback=false,/avatars/traders/hypnogaba.jpg,downloaded
qualifier,Karmel / nicolenah4,@nicolenah4,https://unavatar.io/x/nicolenah4?fallback=false,/avatars/traders/nicolenah4.jpg,downloaded
qualifier,Leo / jupceo,@jupceo,https://unavatar.io/x/jupceo?fallback=false,/avatars/traders/jupceo.jpg,downloaded
qualifier,Noah,@GhostHash1,https://unavatar.io/x/GhostHash1?fallback=false,/avatars/traders/ghosthash1.jpg,downloaded
qualifier,Laurin / syrecx,@syrecx,https://unavatar.io/x/syrecx?fallback=false,/avatars/traders/syrecx.jpg,downloaded
qualifier,0xjay,@0xjay,https://unavatar.io/x/0xjay?fallback=false,/avatars/traders/0xjay.jpg,downloaded
qualifier,Stepan / 0xmambich,@0xmambich,https://unavatar.io/x/0xmambich?fallback=false,/avatars/traders/0xmambich.jpg,downloaded
qualifier,Mohamed / peanut0x,@peanut0x,https://unavatar.io/x/peanut0x?fallback=false,/avatars/traders/peanut0x.jpg,downloaded
qualifier,Goracy,@jakub_goracu,https://unavatar.io/x/jakub_goracu?fallback=false,/avatars/traders/jakub-goracu.jpg,downloaded
backup,Spud,@cryptosavingexp,https://unavatar.io/x/cryptosavingexp?fallback=false,/avatars/traders/cryptosavingexp.jpg,downloaded
backup,Yehor / YD Dolynskyi,@CryptoYDao,https://unavatar.io/x/CryptoYDao?fallback=false,/avatars/traders/cryptoydao.jpg,downloaded
backup,Ivan,@ivan_nomadz,https://unavatar.io/x/ivan_nomadz?fallback=false,/avatars/traders/ivan-nomadz.jpg,downloaded
backup,Kevin / Vroxul,@Vroxul,https://unavatar.io/x/Vroxul?fallback=false,/avatars/traders/vroxul.png,downloaded
backup,Damian,@DamianMayr,https://unavatar.io/x/DamianMayr?fallback=false,/avatars/traders/damianmayr.png,downloaded
backup,Felix Rihacek,@feeeelliixx,https://unavatar.io/x/feeeelliixx?fallback=false,/avatars/traders/feeeelliixx.png,downloaded
